行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,至善路,一段單號梅林新村站牌,121.540194,25.097278,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍南路,199巷口(圓明寺旁)1,121.555778,25.099278,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍南路,199巷口(圓明寺旁)2,121.555778,25.099278,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍南路,登山步道口1,121.5545,25.096861,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍南路,登山步道口2,121.5545,25.096861,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍南路,登山步道口3,121.5545,25.096861,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段單號楓林橋站牌1,121.58297,25.119158,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段單號楓林橋站牌2,121.58297,25.119158,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段143巷口碧溪橋站牌1,121.57386,25.116257,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段143巷口碧溪橋站牌2,121.57386,25.116257,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,一段雙號東吳大學(錢穆故居)站牌,121.541306,25.097389,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,一段雙號梅林新村站牌1,121.540139,25.0975,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,一段雙號梅林新村站牌2,121.540139,25.0975,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段371巷土地公廟前,121.581327,25.122921,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段371巷土地公廟前1,121.581327,25.122921,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段371巷土地公廟前2,121.581327,25.122921,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段769號前,121.526803,25.09932,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段754號前,121.527063,25.099373,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,單號士林官邸(中正)公車站旁1,121.531677,25.096563,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,雙號士林官邸(中正)公車站旁1,121.531637,25.096366,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路六段,15號,121.52507,25.103121,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福國路,95之15號,121.5218614,25.1017007,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福國路,與中山北六段交叉口,121.5256817,25.1025534,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,724號對面,121.520426,25.102434,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,720號對面,121.5205657,25.1022271,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,一段(忠誠公園車站牌前),121.52549,25.10389,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,一段(忠誠公園車站牌前),121.52583,25.10388,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,一段126號旁,121.528799,25.105692,嚴禁投入家用垃圾，違者重罰新台幣6000元
